image 4935/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-09-20-2024-4666.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 5196/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4933.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5197/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4934.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5198/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4935.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5199/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4936.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5200/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4937.JPG: 640x640 narrowleaf_cattail 0.94, purple_loosestrife 0.05, phragmites 0.01, none 0.00, 3.0ms
image 5201/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4938.JPG: 640x640 narrowleaf_cattail 0.98, purple_loosestrife 0.01, phragmites 0.01, none 0.00, 3.0ms
image 5202/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4939.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5203/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4940.JPG: 640x640 narrowleaf_cattail 0.99, purple_loosestrife 0.01, phragmites 0.01, none 0.00, 3.0ms
image 5204/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4941.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5205/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4942.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5206/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4943.JPG: 640x640 narrowleaf_cattail 0.98, phragmites 0.01, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5207/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4944.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5208/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4945.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5209/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4946.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5210/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4947.JPG: 640x640 narrowleaf_cattail 0.99, phragmites 0.01, none 0.00, purple_loosestrife 0.00, 3.0ms
image 5211/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4948.JPG: 640x640 narrowleaf_cattail 0.99, phragmites 0.01, none 0.00, purple_loosestrife 0.00, 3.0ms
image 5212/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4949.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5213/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4950.JPG: 640x640 narrowleaf_cattail 0.99, phragmites 0.01, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5214/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4951.JPG: 640x640 narrowleaf_cattail 0.99, phragmites 0.01, purple_loosestrife 0.00, none 0.00, 3.1ms
image 5215/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4952.JPG: 640x640 narrowleaf_cattail 0.95, phragmites 0.05, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5216/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4953.JPG: 640x640 narrowleaf_cattail 0.99, phragmites 0.01, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5217/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4954.JPG: 640x640 narrowleaf_cattail 0.98, phragmites 0.01, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5218/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4955.JPG: 640x640 narrowleaf_cattail 0.96, phragmites 0.03, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5219/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4956.JPG: 640x640 narrowleaf_cattail 0.95, phragmites 0.04, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5220/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4957.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5221/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4958.JPG: 640x640 narrowleaf_cattail 0.99, phragmites 0.01, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5222/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4959.JPG: 640x640 narrowleaf_cattail 0.95, phragmites 0.05, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5223/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4960.JPG: 640x640 narrowleaf_cattail 0.95, phragmites 0.04, purple_loosestrife 0.01, none 0.00, 3.0ms
image 5224/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4961.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5225/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4962.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5226/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4963.JPG: 640x640 narrowleaf_cattail 0.99, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5227/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4964.JPG: 640x640 narrowleaf_cattail 0.96, purple_loosestrife 0.02, phragmites 0.02, none 0.00, 3.0ms
image 5228/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4965.JPG: 640x640 narrowleaf_cattail 0.98, phragmites 0.01, purple_loosestrife 0.01, none 0.00, 3.0ms
image 5229/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4966.JPG: 640x640 narrowleaf_cattail 0.99, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5230/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4967.JPG: 640x640 narrowleaf_cattail 0.99, phragmites 0.01, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5231/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4968.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5232/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4969.JPG: 640x640 narrowleaf_cattail 0.99, phragmites 0.01, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5233/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4970.JPG: 640x640 narrowleaf_cattail 0.95, phragmites 0.03, purple_loosestrife 0.02, none 0.00, 3.0ms
image 5234/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4971.JPG: 640x640 narrowleaf_cattail 0.97, purple_loosestrife 0.02, phragmites 0.00, none 0.00, 3.0ms
image 5235/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4972.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.1ms
image 5236/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4973.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5237/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4974.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5238/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4975.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5239/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4976.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5240/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4977.JPG: 640x640 narrowleaf_cattail 0.92, phragmites 0.07, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5241/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4978.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5242/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4979.JPG: 640x640 narrowleaf_cattail 0.84, phragmites 0.13, purple_loosestrife 0.03, none 0.00, 3.0ms
image 5243/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4980.JPG: 640x640 narrowleaf_cattail 0.96, phragmites 0.04, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5244/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4981.JPG: 640x640 narrowleaf_cattail 0.93, purple_loosestrife 0.04, phragmites 0.03, none 0.00, 3.0ms
image 5245/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4982.JPG: 640x640 narrowleaf_cattail 0.94, phragmites 0.04, purple_loosestrife 0.02, none 0.00, 3.0ms
image 5246/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4983.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5247/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4984.JPG: 640x640 narrowleaf_cattail 0.99, phragmites 0.01, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5248/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4985.JPG: 640x640 narrowleaf_cattail 0.99, phragmites 0.01, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5249/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4986.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5250/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4987.JPG: 640x640 narrowleaf_cattail 0.99, phragmites 0.01, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5251/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4988.JPG: 640x640 narrowleaf_cattail 0.99, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5252/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4989.JPG: 640x640 narrowleaf_cattail 0.99, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5253/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4990.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5254/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4991.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5255/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4992.JPG: 640x640 narrowleaf_cattail 0.98, phragmites 0.01, purple_loosestrife 0.01, none 0.00, 3.0ms
image 5256/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4993.JPG: 640x640 narrowleaf_cattail 0.99, phragmites 0.01, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5257/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4994.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 5258/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4995.JPG: 640x640 narrowleaf_cattail 0.92, phragmites 0.08, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5259/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4996.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 5260/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4997.JPG: 640x640 narrowleaf_cattail 0.98, phragmites 0.02, purple_loosestrife 0.01, none 0.00, 3.0ms
image 5261/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4998.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5262/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-4999.JPG: 640x640 narrowleaf_cattail 1.00, none 0.00, phragmites 0.00, purple_loosestrife 0.00, 3.1ms
image 5263/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5000.JPG: 640x640 narrowleaf_cattail 1.00, none 0.00, phragmites 0.00, purple_loosestrife 0.00, 3.0ms
image 5264/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5001.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 5265/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5002.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.1ms
image 5266/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5003.JPG: 640x640 narrowleaf_cattail 1.00, none 0.00, phragmites 0.00, purple_loosestrife 0.00, 3.0ms
image 5267/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5004.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 5268/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5005.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 5269/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5006.JPG: 640x640 narrowleaf_cattail 0.61, purple_loosestrife 0.26, phragmites 0.11, none 0.03, 3.0ms
image 5270/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5007.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5271/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5008.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.1ms
image 5272/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5009.JPG: 640x640 narrowleaf_cattail 0.88, none 0.06, purple_loosestrife 0.04, phragmites 0.02, 3.0ms
image 5273/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5010.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 5274/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5011.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5275/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5012.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5276/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5013.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.1ms
image 5277/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5014.JPG: 640x640 narrowleaf_cattail 0.93, none 0.03, phragmites 0.02, purple_loosestrife 0.01, 3.3ms
image 5278/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5015.JPG: 640x640 narrowleaf_cattail 0.59, purple_loosestrife 0.30, phragmites 0.05, none 0.05, 3.2ms
image 5279/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5016.JPG: 640x640 narrowleaf_cattail 0.91, phragmites 0.05, purple_loosestrife 0.02, none 0.02, 3.1ms
image 5280/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5017.JPG: 640x640 narrowleaf_cattail 0.58, none 0.19, purple_loosestrife 0.14, phragmites 0.09, 3.2ms
image 5281/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5018.JPG: 640x640 narrowleaf_cattail 0.94, phragmites 0.02, none 0.02, purple_loosestrife 0.02, 3.1ms
image 5282/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5019.JPG: 640x640 narrowleaf_cattail 0.74, phragmites 0.11, purple_loosestrife 0.08, none 0.07, 3.2ms
image 5283/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5020.JPG: 640x640 narrowleaf_cattail 0.72, purple_loosestrife 0.10, none 0.10, phragmites 0.08, 3.1ms
image 5284/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5021.JPG: 640x640 narrowleaf_cattail 0.71, purple_loosestrife 0.24, phragmites 0.03, none 0.02, 3.1ms
image 5285/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5022.JPG: 640x640 purple_loosestrife 0.63, narrowleaf_cattail 0.30, phragmites 0.05, none 0.03, 3.0ms
image 5286/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5023.JPG: 640x640 purple_loosestrife 0.45, none 0.34, narrowleaf_cattail 0.15, phragmites 0.06, 3.0ms
image 5287/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5024.JPG: 640x640 purple_loosestrife 0.72, narrowleaf_cattail 0.12, none 0.10, phragmites 0.06, 3.0ms
image 5288/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5025.JPG: 640x640 purple_loosestrife 0.88, none 0.04, narrowleaf_cattail 0.04, phragmites 0.04, 3.4ms
image 5289/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5026.JPG: 640x640 purple_loosestrife 0.71, none 0.28, narrowleaf_cattail 0.00, phragmites 0.00, 3.1ms
image 5290/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5027.JPG: 640x640 narrowleaf_cattail 0.96, none 0.02, purple_loosestrife 0.01, phragmites 0.01, 3.0ms
image 5291/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5028.JPG: 640x640 narrowleaf_cattail 0.81, none 0.10, purple_loosestrife 0.05, phragmites 0.05, 3.0ms
image 5292/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5029.JPG: 640x640 purple_loosestrife 0.55, narrowleaf_cattail 0.27, none 0.17, phragmites 0.01, 3.0ms
image 5293/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5030.JPG: 640x640 narrowleaf_cattail 0.89, none 0.05, purple_loosestrife 0.04, phragmites 0.02, 3.0ms
image 5294/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5031.JPG: 640x640 narrowleaf_cattail 0.98, purple_loosestrife 0.01, none 0.00, phragmites 0.00, 3.0ms
image 5295/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5032.JPG: 640x640 narrowleaf_cattail 0.97, phragmites 0.01, purple_loosestrife 0.01, none 0.00, 3.1ms
image 5296/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5033.JPG: 640x640 narrowleaf_cattail 0.91, none 0.05, phragmites 0.02, purple_loosestrife 0.02, 3.0ms
image 5297/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5034.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, purple_loosestrife 0.00, none 0.00, 3.0ms
image 5298/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5035.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 5299/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5036.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.1ms
image 5300/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5037.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 5301/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5038.JPG: 640x640 narrowleaf_cattail 1.00, none 0.00, phragmites 0.00, purple_loosestrife 0.00, 3.0ms
image 5302/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5039.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 5303/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5040.JPG: 640x640 narrowleaf_cattail 1.00, purple_loosestrife 0.00, phragmites 0.00, none 0.00, 3.0ms
image 5304/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5041.JPG: 640x640 narrowleaf_cattail 1.00, none 0.00, phragmites 0.00, purple_loosestrife 0.00, 3.0ms
image 5305/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5042.JPG: 640x640 narrowleaf_cattail 0.99, phragmites 0.01, none 0.00, purple_loosestrife 0.00, 3.0ms
image 5306/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5043.JPG: 640x640 narrowleaf_cattail 0.99, none 0.00, phragmites 0.00, purple_loosestrife 0.00, 3.0ms
image 5307/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5044.JPG: 640x640 narrowleaf_cattail 1.00, none 0.00, phragmites 0.00, purple_loosestrife 0.00, 3.0ms
image 5308/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5045.JPG: 640x640 narrowleaf_cattail 1.00, none 0.00, phragmites 0.00, purple_loosestrife 0.00, 3.0ms
image 5309/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5046.JPG: 640x640 narrowleaf_cattail 1.00, none 0.00, phragmites 0.00, purple_loosestrife 0.00, 3.0ms
image 5310/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5047.JPG: 640x640 narrowleaf_cattail 1.00, none 0.00, phragmites 0.00, purple_loosestrife 0.00, 3.0ms
image 5311/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5048.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 5312/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5049.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.1ms
image 5313/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5050.JPG: 640x640 narrowleaf_cattail 1.00, purple_loosestrife 0.00, none 0.00, phragmites 0.00, 3.0ms
image 5314/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5051.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 5315/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5052.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
image 5316/5947 /home/landon/Senior-Design/Training/narrowleaf_cattail/narrowleaf_cattail-6-28-24-5053.JPG: 640x640 narrowleaf_cattail 1.00, phragmites 0.00, none 0.00, purple_loosestrife 0.00, 3.0ms
